Activation&Critical accuracy&Lambda&Nodes&Regularization&Test accuracy&Train accuracy \\
\hline
tanh&96.643&0.1&100.0&l2&99.944&99.91 \\
tanh&96.437&0.1&50.0&l2&99.939&99.9 \\
sigmoidsigmoid&96.39&0.01&100.0&None&99.922&99.96 \\
tanhtanh&96.37&0.1&100.0&l2&99.938&99.9 \\
tanh&96.23&0.1&10.0&l2&99.932&99.9 \\
tanhtanhtanh&96.163&0.001&100.0&l1&99.945&99.91 \\
relurelu&90.253&0.001&10.0&l1&96.462&99.03 \\
relurelu&88.803&0.1&100.0&l2&91.48&96.73 \\
relurelurelu&87.837&0.1&50.0&l2&94.126&98.19 \\
relurelu&86.8&0.1&50.0&l2&88.809&95.3 \\
relurelurelu&86.19&0.001&100.0&l1&99.844&99.98 \\
sigmoid&79.37&0.001&100.0&l1&77.45&81.7 \\
sigmoid&77.757&0.01&100.0&l2&77.392&82.24 \\
sigmoid&76.82&0.01&50.0&l2&73.605&78.01 \\
sigmoid&76.627&0.001&50.0&l1&73.794&77.22 \\
\hline
